标题： 哈哈记单词看到了这个 	 链接：http://tieba.baidu.com//p/5149040721 	 发帖人：风吹屁屁潮 	 发帖时间：6-6 	 回复数量： 8 
标题： 【资源分享/禁水】吧友资源分享统一管理帖 不看怪我啦???? 	 链接：http://tieba.baidu.com//p/3798854576 	 发帖人：将轨 	 发帖时间：2015-06 	 回复数量： 7012 
标题： 耳朵结婚，我有点接受不了！！ 	 链接：http://tieba.baidu.com//p/5118051929 	 发帖人：梦里小偷 	 发帖时间：5-16 	 回复数量： 106 
标题： 求资源 	 链接：http://tieba.baidu.com//p/5150756349 	 发帖人：Zerodesanji 	 发帖时间：13:01 	 回复数量： 0 
标题： 【官方资源】最新资源和早期资源；找资源看这里就对了 	 链接：http://tieba.baidu.com//p/3330341157 	 发帖人：将轨 	 发帖时间：2014-10 	 回复数量： 5335 
标题： 生活大爆炸居然就这样完结了！！！ 	 链接：http://tieba.baidu.com//p/5115173657 	 发帖人：酒曲白黎 	 发帖时间：5-14 	 回复数量： 40 
标题： 哪位大神知道这一幕是第几集？ 	 链接：http://tieba.baidu.com//p/5149677961 	 发帖人：冬天里的小田鼠 	 发帖时间：6-6 	 回复数量： 9 
标题： 生活大爆炸第八季十九集佩妮是真空上阵吧 	 链接：http://tieba.baidu.com//p/3694551738 	 发帖人：杜远航123 	 发帖时间：2015-04 	 回复数量： 65 
标题： 请让我发一个清流资源贴 	 链接：http://tieba.baidu.com//p/5115298888 	 发帖人：往生醉十方镜 	 发帖时间：5-14 	 回复数量： 122 
标题： 你们觉得生活大爆炸里哪集最让你感动 	 链接：http://tieba.baidu.com//p/3923560039 	 发帖人：轩辕之圣道 	 发帖时间：2015-07 	 回复数量： 16 
标题： 生活大爆炸第十季 	 链接：http://tieba.baidu.com//p/5142251844 	 发帖人：湿十 	 发帖时间：6-1 	 回复数量： 7 
标题： 解答一个不可思议 	 链接：http://tieba.baidu.com//p/5150629726 	 发帖人：湖沟坝 	 发帖时间：11:27 	 回复数量： 3 
标题： 我心急如焚，方寸以乱，不知道该如何是好！ 	 链接：http://tieba.baidu.com//p/5128735405 	 发帖人：队长别开枪96 	 发帖时间：5-23 	 回复数量： 6 
标题： 突然觉得，莱呆他们三个在北极做的事情对耳朵来说太过分。。 	 链接：http://tieba.baidu.com//p/5149632812 	 发帖人：COCOLisk_234 	 发帖时间：6-6 	 回复数量： 4 
